CASNumber,HazardCode
94551-87-8, H317, Skin Sens. 1
94551-87-8, H400, Aquatic Acute 1
94551-87-8, H410, Aquatic Chronic 1
13637-71-3, H350i, Carc. 1A
13637-71-3, H341, Muta. 2
13637-71-3, H360D, Repr. 1B
13637-71-3, H372, STOT RE 1
13637-71-3, H314, Skin Corr. 1B
13637-71-3, H334, Resp. Sens. 1
13637-71-3, H317, Skin Sens. 1
13637-71-3, H400, Aquatic Acute 1
13637-71-3, H410, Aquatic Chronic 1
13842-46-1, H350i, Carc. 1A
13842-46-1, H341, Muta. 2
13842-46-1, H360D, Repr. 1B
13842-46-1, H332, Acute Tox. 4
13842-46-1, H302, Acute Tox. 4
13842-46-1, H372, STOT RE 1
13842-46-1, H334, Resp. Sens. 1
13842-46-1, H317, Skin Sens. 1
13842-46-1, H400, Aquatic Acute 1
13842-46-1, H410, Aquatic Chronic 1
15699-18-0, H350i, Carc. 1A
15699-18-0, H341, Muta. 2
15699-18-0, H360D, Repr. 1B
15699-18-0, H332, Acute Tox. 4
15699-18-0, H302, Acute Tox. 4
15699-18-0, H372, STOT RE 1
15699-18-0, H334, Resp. Sens. 1
15699-18-0, H317, Skin Sens. 1
15699-18-0, H400, Aquatic Acute 1
15699-18-0, H410, Aquatic Chronic 1
13770-89-3, H350i, Carc. 1A
13770-89-3, H341, Muta. 2
13770-89-3, H360D, Repr. 1B
13770-89-3, H372, STOT RE 1
13770-89-3, H334, Resp. Sens. 1
13770-89-3, H317, Skin Sens. 1
13770-89-3, H400, Aquatic Acute 1
13770-89-3, H410, Aquatic Chronic 1
14708-14-6, H350i, Carc. 1A
14708-14-6, H341, Muta. 2
14708-14-6, H360D, Repr. 1B
14708-14-6, H372, STOT RE 1
14708-14-6, H334, Resp. Sens. 1
14708-14-6, H317, Skin Sens. 1
14708-14-6, H400, Aquatic Acute 1
14708-14-6, H410, Aquatic Chronic 1
3349-06-2, H350i, Carc. 1A
3349-06-2, H341, Muta. 2
3349-06-2, H360D, Repr. 1B
3349-06-2, H372, STOT RE 1
3349-06-2, H334, Resp. Sens. 1
3349-06-2, H317, Skin Sens. 1
3349-06-2, H400, Aquatic Acute 1
3349-06-2, H410, Aquatic Chronic 1
15843-02-4, H350i, Carc. 1A
15843-02-4, H341, Muta. 2
15843-02-4, H360D, Repr. 1B
15843-02-4, H372, STOT RE 1
15843-02-4, H334, Resp. Sens. 1
15843-02-4, H317, Skin Sens. 1
15843-02-4, H400, Aquatic Acute 1
15843-02-4, H410, Aquatic Chronic 1
68134-59-8, H350i, Carc. 1A
68134-59-8, H341, Muta. 2
68134-59-8, H360D, Repr. 1B
68134-59-8, H372, STOT RE 1
68134-59-8, H334, Resp. Sens. 1
68134-59-8, H317, Skin Sens. 1
68134-59-8, H400, Aquatic Acute 1
68134-59-8, H410, Aquatic Chronic 1
373-02-4, H350i, Carc. 1A
373-02-4, H341, Muta. 2
373-02-4, H360D, Repr. 1B
373-02-4, H332, Acute Tox. 4
373-02-4, H302, Acute Tox. 4
373-02-4, H372, STOT RE 1
373-02-4, H334, Resp. Sens. 1
373-02-4, H317, Skin Sens. 1
373-02-4, H400, Aquatic Acute 1
373-02-4, H410, Aquatic Chronic 1
14998-37-9, H350i, Carc. 1A
14998-37-9, H341, Muta. 2
14998-37-9, H360D, Repr. 1B
14998-37-9, H332, Acute Tox. 4
14998-37-9, H302, Acute Tox. 4
14998-37-9, H372, STOT RE 1
14998-37-9, H334, Resp. Sens. 1
14998-37-9, H317, Skin Sens. 1
14998-37-9, H400, Aquatic Acute 1
14998-37-9, H410, Aquatic Chronic 1
553-71-9, H350i, Carc. 1A
553-71-9, H341, Muta. 2
553-71-9, H360D, Repr. 1B
553-71-9, H372, STOT RE 1
553-71-9, H334, Resp. Sens. 1
553-71-9, H317, Skin Sens. 1
553-71-9, H400, Aquatic Acute 1
553-71-9, H410, Aquatic Chronic 1
3906-55-6, H350i, Carc. 1A
3906-55-6, H341, Muta. 2
3906-55-6, H360D, Repr. 1B
3906-55-6, H372, STOT RE 1
3906-55-6, H334, Resp. Sens. 1
3906-55-6, H317, Skin Sens. 1
3906-55-6, H400, Aquatic Acute 1
3906-55-6, H410, Aquatic Chronic 1
2223-95-2, H350i, Carc. 1A
2223-95-2, H341, Muta. 2
2223-95-2, H360D, Repr. 1B
2223-95-2, H372, STOT RE 1
2223-95-2, H334, Resp. Sens. 1
2223-95-2, H317, Skin Sens. 1
2223-95-2, H400, Aquatic Acute 1
2223-95-2, H410, Aquatic Chronic 1
16039-61-5, H350i, Carc. 1A
16039-61-5, H341, Muta. 2
16039-61-5, H360D, Repr. 1B
16039-61-5, H372, STOT RE 1
16039-61-5, H334, Resp. Sens. 1
16039-61-5, H317, Skin Sens. 1
16039-61-5, H400, Aquatic Acute 1
16039-61-5, H410, Aquatic Chronic 1
4995-91-9, H350i, Carc. 1A
4995-91-9, H341, Muta. 2
4995-91-9, H360D, Repr. 1B
4995-91-9, H372, STOT RE 1
4995-91-9, H314, Skin Corr. 1A
4995-91-9, H334, Resp. Sens. 1
4995-91-9, H317, Skin Sens. 1
4995-91-9, H400, Aquatic Acute 1
4995-91-9, H410, Aquatic Chronic 1
10028-18-9, H350i, Carc. 1A
10028-18-9, H341, Muta. 2
10028-18-9, H360D, Repr. 1B
10028-18-9, H372, STOT RE 1
10028-18-9, H334, Resp. Sens. 1
10028-18-9, H317, Skin Sens. 1
10028-18-9, H400, Aquatic Acute 1
10028-18-9, H410, Aquatic Chronic 1
13462-88-9, H350i, Carc. 1A
13462-88-9, H341, Muta. 2
13462-88-9, H360D, Repr. 1B
13462-88-9, H372, STOT RE 1
13462-88-9, H334, Resp. Sens. 1
13462-88-9, H317, Skin Sens. 1
13462-88-9, H400, Aquatic Acute 1
13462-88-9, H410, Aquatic Chronic 1
13462-90-3, H350i, Carc. 1A
13462-90-3, H341, Muta. 2
13462-90-3, H360D, Repr. 1B
13462-90-3, H372, STOT RE 1
13462-90-3, H334, Resp. Sens. 1
13462-90-3, H317, Skin Sens. 1
13462-90-3, H400, Aquatic Acute 1
13462-90-3, H410, Aquatic Chronic 1
11132-10-8, H350i, Carc. 1A
11132-10-8, H341, Muta. 2
11132-10-8, H360D, Repr. 1B
11132-10-8, H372, STOT RE 1
11132-10-8, H334, Resp. Sens. 1
11132-10-8, H317, Skin Sens. 1
11132-10-8, H400, Aquatic Acute 1
11132-10-8, H410, Aquatic Chronic 1
26043-11-8, H350i, Carc. 1A
26043-11-8, H341, Muta. 2
26043-11-8, H360D, Repr. 1B
26043-11-8, H372, STOT RE 1
26043-11-8, H334, Resp. Sens. 1
26043-11-8, H317, Skin Sens. 1
26043-11-8, H400, Aquatic Acute 1
26043-11-8, H410, Aquatic Chronic 1
15060-62-5, H350i, Carc. 1A
15060-62-5, H341, Muta. 2
15060-62-5, H360D, Repr. 1B
15060-62-5, H372, STOT RE 1
15060-62-5, H334, Resp. Sens. 1
15060-62-5, H317, Skin Sens. 1
15060-62-5, H400, Aquatic Acute 1
15060-62-5, H410, Aquatic Chronic 1
14332-34-4, H350i, Carc. 1A
14332-34-4, H372, STOT RE 1
14332-34-4, H334, Resp. Sens. 1
14332-34-4, H317, Skin Sens. 1
14332-34-4, H400, Aquatic Acute 1
14332-34-4, H410, Aquatic Chronic 1
18718-11-1, H350i, Carc. 1A
18718-11-1, H372, STOT RE 1
18718-11-1, H334, Resp. Sens. 1
18718-11-1, H317, Skin Sens. 1
18718-11-1, H400, Aquatic Acute 1
18718-11-1, H410, Aquatic Chronic 1
10381-36-9, H350i, Carc. 1A
10381-36-9, H372, STOT RE 1
10381-36-9, H334, Resp. Sens. 1
10381-36-9, H317, Skin Sens. 1
10381-36-9, H400, Aquatic Acute 1
10381-36-9, H410, Aquatic Chronic 1
14448-18-1, H350i, Carc. 1A
14448-18-1, H372, STOT RE 1
14448-18-1, H334, Resp. Sens. 1
14448-18-1, H317, Skin Sens. 1
14448-18-1, H400, Aquatic Acute 1
14448-18-1, H410, Aquatic Chronic 1
14507-36-9, H350i, Carc. 1A
14507-36-9, H372, STOT RE 1
14507-36-9, H334, Resp. Sens. 1
14507-36-9, H317, Skin Sens. 1
14507-36-9, H400, Aquatic Acute 1
14507-36-9, H410, Aquatic Chronic 1
36026-88-7, H350i, Carc. 1A
36026-88-7, H372, STOT RE 1
36026-88-7, H334, Resp. Sens. 1
36026-88-7, H317, Skin Sens. 1
36026-88-7, H400, Aquatic Acute 1
36026-88-7, H410, Aquatic Chronic 1
17169-61-8, H350i, Carc. 1A
17169-61-8, H372, STOT RE 1
17169-61-8, H334, Resp. Sens. 1
17169-61-8, H317, Skin Sens. 1
17169-61-8, H400, Aquatic Acute 1
17169-61-8, H410, Aquatic Chronic 1
19372-20-4, H350i, Carc. 1A
19372-20-4, H372, STOT RE 1
19372-20-4, H334, Resp. Sens. 1
19372-20-4, H317, Skin Sens. 1
19372-20-4, H400, Aquatic Acute 1
19372-20-4, H410, Aquatic Chronic 1
74195-78-1, H350i, Carc. 1A
74195-78-1, H372, STOT RE 1
74195-78-1, H334, Resp. Sens. 1
74195-78-1, H317, Skin Sens. 1
74195-78-1, H400, Aquatic Acute 1
74195-78-1, H410, Aquatic Chronic 1
557-19-7, H350i, Carc. 1A
557-19-7, H372, STOT RE 1
557-19-7, H334, Resp. Sens. 1
557-19-7, H317, Skin Sens. 1
557-19-7, H400, Aquatic Acute 1
557-19-7, H410, Aquatic Chronic 1
14721-18-7, H350i, Carc. 1A
14721-18-7, H372, STOT RE 1
14721-18-7, H334, Resp. Sens. 1
14721-18-7, H317, Skin Sens. 1
14721-18-7, H400, Aquatic Acute 1
14721-18-7, H410, Aquatic Chronic 1
21784-78-1, H350i, Carc. 1A
21784-78-1, H372, STOT RE 1
21784-78-1, H317, Skin Sens. 1
21784-78-1, H400, Aquatic Acute 1
21784-78-1, H410, Aquatic Chronic 1
13775-54-7, H350i, Carc. 1A
13775-54-7, H372, STOT RE 1
13775-54-7, H317, Skin Sens. 1
13775-54-7, H400, Aquatic Acute 1
13775-54-7, H410, Aquatic Chronic 1
31748-25-1, H350i, Carc. 1A
31748-25-1, H372, STOT RE 1
31748-25-1, H317, Skin Sens. 1
31748-25-1, H400, Aquatic Acute 1
31748-25-1, H410, Aquatic Chronic 1
37321-15-6, H350i, Carc. 1A
37321-15-6, H372, STOT RE 1
37321-15-6, H317, Skin Sens. 1
37321-15-6, H400, Aquatic Acute 1
37321-15-6, H410, Aquatic Chronic 1
12519-85-6, H350i, Carc. 1A
12519-85-6, H372, STOT RE 1
12519-85-6, H317, Skin Sens. 1
12519-85-6, H400, Aquatic Acute 1
12519-85-6, H410, Aquatic Chronic 1
14874-78-3, H350i, Carc. 1A
14874-78-3, H372, STOT RE 1
14874-78-3, H317, Skin Sens. 1
14874-78-3, H400, Aquatic Acute 1
14874-78-3, H410, Aquatic Chronic 1
13477-70-8, H350, Carc. 1A
13477-70-8, H372, STOT RE 1
13477-70-8, H317, Skin Sens. 1
13477-70-8, H400, Aquatic Acute 1
13477-70-8, H410, Aquatic Chronic 1
547-67-1, H350i, Carc. 1A
547-67-1, H372, STOT RE 1
547-67-1, H317, Skin Sens. 1
547-67-1, H400, Aquatic Acute 1
547-67-1, H410, Aquatic Chronic 1
20543-06-0, H350i, Carc. 1A
20543-06-0, H372, STOT RE 1
20543-06-0, H317, Skin Sens. 1
20543-06-0, H400, Aquatic Acute 1
20543-06-0, H410, Aquatic Chronic 1
12142-88-0, H350i, Carc. 1A
12142-88-0, H372, STOT RE 1
12142-88-0, H317, Skin Sens. 1
12142-88-0, H400, Aquatic Acute 1
12142-88-0, H410, Aquatic Chronic 1
12137-12-1, H350i, Carc. 1A
12137-12-1, H372, STOT RE 1
12137-12-1, H317, Skin Sens. 1
12137-12-1, H400, Aquatic Acute 1
12137-12-1, H410, Aquatic Chronic 1
74646-29-0, H350i, Carc. 1A
74646-29-0, H372, STOT RE 1
74646-29-0, H317, Skin Sens. 1
74646-29-0, H400, Aquatic Acute 1
74646-29-0, H410, Aquatic Chronic 1
68186-89-0, H350i, Carc. 1A
68186-89-0, H372, STOT RE 1
68186-89-0, H317, Skin Sens. 1
58591-45-0, H350i, Carc. 1A
58591-45-0, H372, STOT RE 1
58591-45-0, H317, Skin Sens. 1
12737-30-3, H350i, Carc. 1A
12737-30-3, H372, STOT RE 1
12737-30-3, H317, Skin Sens. 1
12035-38-0, H350i, Carc. 1A
12035-38-0, H372, STOT RE 1
12035-38-0, H317, Skin Sens. 1
15780-33-3, H350i, Carc. 1A
15780-33-3, H372, STOT RE 1
15780-33-3, H317, Skin Sens. 1
13689-92-4, H350i, Carc. 1A
13689-92-4, H341, Muta. 2
13689-92-4, H360D, Repr. 1B
13689-92-4, H372, STOT RE 1
13689-92-4, H334, Resp. Sens. 1
13689-92-4, H317, Skin Sens. 1
13689-92-4, H400, Aquatic Acute 1
13689-92-4, H410, Aquatic Chronic 1
15586-38-6, H350i, Carc. 1A
15586-38-6, H341, Muta. 2
15586-38-6, H360D, Repr. 1B
15586-38-6, H372, STOT RE 1
15586-38-6, H334, Resp. Sens. 1
15586-38-6, H317, Skin Sens. 1
15586-38-6, H400, Aquatic Acute 1
15586-38-6, H410, Aquatic Chronic 1
10101-96-9, H350i, Carc. 1A
10101-96-9, H372, STOT RE 1
10101-96-9, H334, Resp. Sens. 1
10101-96-9, H317, Skin Sens. 1
10101-96-9, H400, Aquatic Acute 1
10101-96-9, H410, Aquatic Chronic 1
1314-05-2, H350i, Carc. 1A
1314-05-2, H372, STOT RE 1
1314-05-2, H317, Skin Sens. 1
1314-05-2, H400, Aquatic Acute 1
1314-05-2, H410, Aquatic Chronic 1
68130-19-8, H350i, Carc. 1A
68130-19-8, H360Df, Repr. 1A
68130-19-8, H372, STOT RE 1
68130-19-8, H317, Skin Sens. 1
68130-19-8, H400, Aquatic Acute 1
68130-19-8, H410, Aquatic Chronic 1
12068-61-0, H350i, Carc. 1A
12068-61-0, H372, STOT RE 1
12068-61-0, H317, Skin Sens. 1
12068-61-0, H400, Aquatic Acute 1
12068-61-0, H410, Aquatic Chronic 1
27016-75-7, H350i, Carc. 1A
27016-75-7, H372, STOT RE 1
27016-75-7, H317, Skin Sens. 1
27016-75-7, H400, Aquatic Acute 1
27016-75-7, H410, Aquatic Chronic 1
68610-24-2, H350i, Carc. 1A
68610-24-2, H372, STOT RE 1
68610-24-2, H317, Skin Sens. 1
67952-43-6, H350i, Carc. 1A
67952-43-6, H341, Muta. 2
67952-43-6, H360D, Repr. 1B
67952-43-6, H372, STOT RE 1
67952-43-6, H334, Resp. Sens. 1
67952-43-6, H317, Skin Sens. 1
67952-43-6, H400, Aquatic Acute 1
67952-43-6, H410, Aquatic Chronic 1
14550-87-9, H350i, Carc. 1A
14550-87-9, H341, Muta. 2
14550-87-9, H360D, Repr. 1B
14550-87-9, H372, STOT RE 1
14550-87-9, H334, Resp. Sens. 1
14550-87-9, H317, Skin Sens. 1
14550-87-9, H400, Aquatic Acute 1
14550-87-9, H410, Aquatic Chronic 1
71720-48-4, H350i, Carc. 1A
71720-48-4, H341, Muta. 2
71720-48-4, H360D, Repr. 1B
71720-48-4, H372, STOT RE 1
71720-48-4, H334, Resp. Sens. 1
71720-48-4, H317, Skin Sens. 1
71720-48-4, H400, Aquatic Acute 1
71720-48-4, H410, Aquatic Chronic 1
16083-14-0, H350i, Carc. 1A
16083-14-0, H341, Muta. 2
16083-14-0, H360D, Repr. 1B
16083-14-0, H372, STOT RE 1
16083-14-0, H334, Resp. Sens. 1
16083-14-0, H317, Skin Sens. 1
16083-14-0, H400, Aquatic Acute 1
16083-14-0, H410, Aquatic Chronic 1
3349-08-4, H350i, Carc. 1A
3349-08-4, H341, Muta. 2
3349-08-4, H360D, Repr. 1B
3349-08-4, H372, STOT RE 1
3349-08-4, H334, Resp. Sens. 1
3349-08-4, H317, Skin Sens. 1
3349-08-4, H400, Aquatic Acute 1
3349-08-4, H410, Aquatic Chronic 1
39819-65-3, H350i, Carc. 1A
39819-65-3, H341, Muta. 2
39819-65-3, H360D, Repr. 1B
39819-65-3, H372, STOT RE 1
39819-65-3, H334, Resp. Sens. 1
39819-65-3, H317, Skin Sens. 1
39819-65-3, H400, Aquatic Acute 1
39819-65-3, H410, Aquatic Chronic 1
18721-51-2, H350i, Carc. 1A
18721-51-2, H341, Muta. 2
18721-51-2, H360D, Repr. 1B
18721-51-2, H372, STOT RE 1
18721-51-2, H334, Resp. Sens. 1
18721-51-2, H317, Skin Sens. 1
18721-51-2, H400, Aquatic Acute 1
18721-51-2, H410, Aquatic Chronic 1
18283-82-4, H350i, Carc. 1A
18283-82-4, H341, Muta. 2
18283-82-4, H360D, Repr. 1B
18283-82-4, H372, STOT RE 1
18283-82-4, H334, Resp. Sens. 1
18283-82-4, H317, Skin Sens. 1
18283-82-4, H400, Aquatic Acute 1
18283-82-4, H410, Aquatic Chronic 1
22605-92-1, H350i, Carc. 1A
22605-92-1, H341, Muta. 2
22605-92-1, H360D, Repr. 1B
22605-92-1, H372, STOT RE 1
22605-92-1, H334, Resp. Sens. 1
22605-92-1, H317, Skin Sens. 1
22605-92-1, H400, Aquatic Acute 1
22605-92-1, H410, Aquatic Chronic 1
4454-16-4, H350i, Carc. 1A
4454-16-4, H341, Muta. 2
4454-16-4, H360D, Repr. 1B
4454-16-4, H372, STOT RE 1
4454-16-4, H334, Resp. Sens. 1
4454-16-4, H317, Skin Sens. 1
4454-16-4, H400, Aquatic Acute 1
4454-16-4, H410, Aquatic Chronic 1
7580-31-6, H350i, Carc. 1A
7580-31-6, H341, Muta. 2
7580-31-6, H360D, Repr. 1B
7580-31-6, H372, STOT RE 1
7580-31-6, H334, Resp. Sens. 1
7580-31-6, H317, Skin Sens. 1
7580-31-6, H400, Aquatic Acute 1
7580-31-6, H410, Aquatic Chronic 1
93983-68-7, H350i, Carc. 1A
93983-68-7, H341, Muta. 2
93983-68-7, H360D, Repr. 1B
93983-68-7, H372, STOT RE 1
93983-68-7, H334, Resp. Sens. 1
93983-68-7, H317, Skin Sens. 1
93983-68-7, H400, Aquatic Acute 1
93983-68-7, H410, Aquatic Chronic 1
29317-63-3, H350i, Carc. 1A
29317-63-3, H341, Muta. 2
29317-63-3, H360D, Repr. 1B
29317-63-3, H372, STOT RE 1
29317-63-3, H334, Resp. Sens. 1
29317-63-3, H317, Skin Sens. 1
29317-63-3, H400, Aquatic Acute 1
29317-63-3, H410, Aquatic Chronic 1
27637-46-3, H350i, Carc. 1A
27637-46-3, H341, Muta. 2
27637-46-3, H360D, Repr. 1B
27637-46-3, H372, STOT RE 1
27637-46-3, H334, Resp. Sens. 1
27637-46-3, H317, Skin Sens. 1
27637-46-3, H400, Aquatic Acute 1
27637-46-3, H410, Aquatic Chronic 1
84852-37-9, H350i, Carc. 1A
84852-37-9, H341, Muta. 2
84852-37-9, H360D, Repr. 1B
84852-37-9, H372, STOT RE 1
84852-37-9, H334, Resp. Sens. 1
84852-37-9, H317, Skin Sens. 1
84852-37-9, H400, Aquatic Acute 1
84852-37-9, H410, Aquatic Chronic 1
93920-10-6, H350i, Carc. 1A
93920-10-6, H341, Muta. 2
93920-10-6, H360D, Repr. 1B
93920-10-6, H372, STOT RE 1
93920-10-6, H334, Resp. Sens. 1
93920-10-6, H317, Skin Sens. 1
93920-10-6, H400, Aquatic Acute 1
93920-10-6, H410, Aquatic Chronic 1
85508-43-6, H350i, Carc. 1A
85508-43-6, H341, Muta. 2
85508-43-6, H360D, Repr. 1B
85508-43-6, H372, STOT RE 1
85508-43-6, H334, Resp. Sens. 1
85508-43-6, H317, Skin Sens. 1
85508-43-6, H400, Aquatic Acute 1
85508-43-6, H410, Aquatic Chronic 1
85508-44-7, H350i, Carc. 1A
85508-44-7, H341, Muta. 2
85508-44-7, H360D, Repr. 1B
85508-44-7, H372, STOT RE 1
85508-44-7, H334, Resp. Sens. 1
85508-44-7, H317, Skin Sens. 1
85508-44-7, H400, Aquatic Acute 1
85508-44-7, H410, Aquatic Chronic 1
51818-56-5, H350i, Carc. 1A
51818-56-5, H341, Muta. 2
51818-56-5, H360D, Repr. 1B
51818-56-5, H372, STOT RE 1
51818-56-5, H334, Resp. Sens. 1
51818-56-5, H317, Skin Sens. 1
51818-56-5, H400, Aquatic Acute 1
51818-56-5, H410, Aquatic Chronic 1
93920-09-3, H350i, Carc. 1A
93920-09-3, H341, Muta. 2
93920-09-3, H360D, Repr. 1B
93920-09-3, H372, STOT RE 1
93920-09-3, H334, Resp. Sens. 1
93920-09-3, H317, Skin Sens. 1
93920-09-3, H400, Aquatic Acute 1
93920-09-3, H410, Aquatic Chronic 1
71957-07-8, H350i, Carc. 1A
71957-07-8, H341, Muta. 2
71957-07-8, H360D, Repr. 1B
71957-07-8, H372, STOT RE 1
71957-07-8, H334, Resp. Sens. 1
71957-07-8, H317, Skin Sens. 1
71957-07-8, H400, Aquatic Acute 1
71957-07-8, H410, Aquatic Chronic 1
52625-25-9, H350i, Carc. 1A
52625-25-9, H341, Muta. 2
52625-25-9, H360D, Repr. 1B
52625-25-9, H372, STOT RE 1
52625-25-9, H334, Resp. Sens. 1
52625-25-9, H317, Skin Sens. 1
52625-25-9, H400, Aquatic Acute 1
52625-25-9, H410, Aquatic Chronic 1
13654-40-5, H350i, Carc. 1A
13654-40-5, H341, Muta. 2
13654-40-5, H360D, Repr. 1B
13654-40-5, H372, STOT RE 1
13654-40-5, H334, Resp. Sens. 1
13654-40-5, H317, Skin Sens. 1
13654-40-5, H400, Aquatic Acute 1
13654-40-5, H410, Aquatic Chronic 1
85508-45-8, H350i, Carc. 1A
85508-45-8, H341, Muta. 2
85508-45-8, H360D, Repr. 1B
85508-45-8, H372, STOT RE 1
85508-45-8, H334, Resp. Sens. 1
85508-45-8, H317, Skin Sens. 1
85508-45-8, H400, Aquatic Acute 1
85508-45-8, H410, Aquatic Chronic 1
85508-46-9, H350i, Carc. 1A
85508-46-9, H341, Muta. 2
85508-46-9, H360D, Repr. 1B
85508-46-9, H372, STOT RE 1
85508-46-9, H334, Resp. Sens. 1
85508-46-9, H317, Skin Sens. 1
85508-46-9, H400, Aquatic Acute 1
85508-46-9, H410, Aquatic Chronic 1
84852-35-7, H350i, Carc. 1A
84852-35-7, H341, Muta. 2
84852-35-7, H360D, Repr. 1B
84852-35-7, H372, STOT RE 1
84852-35-7, H334, Resp. Sens. 1
84852-35-7, H317, Skin Sens. 1
84852-35-7, H400, Aquatic Acute 1
84852-35-7, H410, Aquatic Chronic 1
84852-39-1, H350i, Carc. 1A
84852-39-1, H341, Muta. 2
84852-39-1, H360D, Repr. 1B
84852-39-1, H372, STOT RE 1
84852-39-1, H334, Resp. Sens. 1
84852-39-1, H317, Skin Sens. 1
84852-39-1, H400, Aquatic Acute 1
84852-39-1, H410, Aquatic Chronic 1
85135-77-9, H350i, Carc. 1A
85135-77-9, H341, Muta. 2
85135-77-9, H360D, Repr. 1B
85135-77-9, H372, STOT RE 1
85135-77-9, H334, Resp. Sens. 1
85135-77-9, H317, Skin Sens. 1
85135-77-9, H400, Aquatic Acute 1
85135-77-9, H410, Aquatic Chronic 1
85166-19-4, H350i, Carc. 1A
85166-19-4, H341, Muta. 2
85166-19-4, H360D, Repr. 1B
85166-19-4, H372, STOT RE 1
85166-19-4, H334, Resp. Sens. 1
85166-19-4, H317, Skin Sens. 1
85166-19-4, H400, Aquatic Acute 1
85166-19-4, H410, Aquatic Chronic 1
84852-36-8, H350i, Carc. 1A
84852-36-8, H341, Muta. 2
84852-36-8, H360D, Repr. 1B
84852-36-8, H372, STOT RE 1
84852-36-8, H334, Resp. Sens. 1
84852-36-8, H317, Skin Sens. 1
84852-36-8, H400, Aquatic Acute 1
84852-36-8, H410, Aquatic Chronic 1
85551-28-6, H350i, Carc. 1A
85551-28-6, H341, Muta. 2
85551-28-6, H360D, Repr. 1B
85551-28-6, H372, STOT RE 1
85551-28-6, H334, Resp. Sens. 1
85551-28-6, H317, Skin Sens. 1
85551-28-6, H400, Aquatic Acute 1
85551-28-6, H410, Aquatic Chronic 1
91697-41-5, H350i, Carc. 1A
91697-41-5, H341, Muta. 2
91697-41-5, H360D, Repr. 1B
91697-41-5, H372, STOT RE 1
91697-41-5, H334, Resp. Sens. 1
91697-41-5, H317, Skin Sens. 1
91697-41-5, H400, Aquatic Acute 1
91697-41-5, H410, Aquatic Chronic 1
84776-45-4, H350i, Carc. 1A
84776-45-4, H341, Muta. 2
84776-45-4, H360D, Repr. 1B
84776-45-4, H372, STOT RE 1
84776-45-4, H334, Resp. Sens. 1
84776-45-4, H317, Skin Sens. 1
84776-45-4, H400, Aquatic Acute 1
84776-45-4, H410, Aquatic Chronic 1
72319-19-8, H350i, Carc. 1A
72319-19-8, H341, Muta. 2
72319-19-8, H360D, Repr. 1B
72319-19-8, H372, STOT RE 1
72319-19-8, H334, Resp. Sens. 1
72319-19-8, H317, Skin Sens. 1
72319-19-8, H400, Aquatic Acute 1
72319-19-8, H410, Aquatic Chronic 1
7757-95-1, H350i, Carc. 1A
7757-95-1, H372, STOT RE 1
7757-95-1, H334, Resp. Sens. 1
7757-95-1, H317, Skin Sens. 1
7757-95-1, H400, Aquatic Acute 1
7757-95-1, H410, Aquatic Chronic 1
15851-52-2, H350i, Carc. 1A
15851-52-2, H372, STOT RE 1
15851-52-2, H334, Resp. Sens. 1
15851-52-2, H317, Skin Sens. 1
15851-52-2, H400, Aquatic Acute 1
15851-52-2, H410, Aquatic Chronic 1
15852-21-8, H350i, Carc. 1A
15852-21-8, H372, STOT RE 1
15852-21-8, H334, Resp. Sens. 1
15852-21-8, H317, Skin Sens. 1
15852-21-8, H400, Aquatic Acute 1
15852-21-8, H410, Aquatic Chronic 1
68130-36-9, H350i, Carc. 1A
68130-36-9, H372, STOT RE 1
68130-36-9, H334, Resp. Sens. 1
68130-36-9, H317, Skin Sens. 1
68130-36-9, H400, Aquatic Acute 1
68130-36-9, H410, Aquatic Chronic 1
12007-00-0, H350i, Carc. 1A
12007-00-0, H372, STOT RE 1
12007-00-0, H317, Skin Sens. 1
12007-00-0, H400, Aquatic Acute 1
12007-00-0, H410, Aquatic Chronic 1
12007-01-1, H350i, Carc. 1A
12007-01-1, H372, STOT RE 1
12007-01-1, H317, Skin Sens. 1
12007-01-1, H400, Aquatic Acute 1
12007-01-1, H410, Aquatic Chronic 1
12007-02-2, H350i, Carc. 1A
12007-02-2, H372, STOT RE 1
12007-02-2, H317, Skin Sens. 1
12007-02-2, H400, Aquatic Acute 1
12007-02-2, H410, Aquatic Chronic 1
12619-90-8, H350i, Carc. 1A
12619-90-8, H372, STOT RE 1
12619-90-8, H317, Skin Sens. 1
12619-90-8, H400, Aquatic Acute 1
12619-90-8, H410, Aquatic Chronic 1
12059-14-2, H350i, Carc. 1A
12059-14-2, H372, STOT RE 1
12059-14-2, H317, Skin Sens. 1
12059-14-2, H400, Aquatic Acute 1
12059-14-2, H410, Aquatic Chronic 1
12201-89-7, H350i, Carc. 1A
12201-89-7, H372, STOT RE 1
12201-89-7, H317, Skin Sens. 1
12201-89-7, H400, Aquatic Acute 1
12201-89-7, H410, Aquatic Chronic 1
12035-64-2, H350i, Carc. 1A
12035-64-2, H372, STOT RE 1
12035-64-2, H317, Skin Sens. 1
12035-64-2, H400, Aquatic Acute 1
12035-64-2, H410, Aquatic Chronic 1
65229-23-4, H350i, Carc. 1A
65229-23-4, H372, STOT RE 1
65229-23-4, H317, Skin Sens. 1
65229-23-4, H400, Aquatic Acute 1
65229-23-4, H410, Aquatic Chronic 1
12004-35-2, H350i, Carc. 1A
12004-35-2, H372, STOT RE 1
12004-35-2, H317, Skin Sens. 1
12035-39-1, H350i, Carc. 1A
12035-39-1, H372, STOT RE 1
